TEMPLATE: {Territory_No | Territory_Name | [LIST_OF_BORDERING_TERRITORIES] | (X_SCALE_FACTOR,Y_SCALE_FACTOR)}

NA1 | Alaska | [NA2,NA6,AS6] | (0.056712962962962965,0.12139917695473251)
NA2 | Alberta | [NA1,NA6,NA7,NA9] | (0.14351851851851852,0.19958847736625515)
NA3 | Central America | [NA4,NA9,SA4] | (0.14699074074074073,0.4012345679012346)
NA4 | E. United States | [NA3,NA7,NA8,NA9] | (0.22511574074074073,0.3477366255144033)
NA5 | Greenland | [NA6,NA7,NA8,EU2] | (0.33564814814814814,0.06790123456790123)
NA6 | N.W. Territory | [NA1,NA2,NA5,NA7] | (0.140625,0.11625514403292181)
NA7 | Ontario | [NA2,NA4,NA6,NA8,NA9] | (0.20717592592592593,0.22016460905349794)
NA8 | Quebec | [NA4,NA5,NA7] | (0.2743055555555556,0.22839506172839505)
NA9 | W. United States | [NA2,NA3,NA4,NA7] | (0.14699074074074073,0.3096707818930041)

SA1 | Argentina | [SA2,SA3] | (0.2523148148148148,0.7818930041152263)
SA2 | Brazil | [SA1,SA3,SA4,AF5] | (0.30671296296296297,0.6255144032921811)
SA3 | Peru | [SA1,SA3,SA4] | (0.22280092592592593,0.6327160493827161)
SA4 | Venezuela | [NA3,SA2,SA3] | (0.2309027777777778,0.529835390946502)

EU1 | Great Britain | [EU2,EU3,EU4,EU7] | (0.4131944444444444,0.3045267489711934)
EU2 | Iceland | [NA5,EU1,EU4] | (0.41724537037037035,0.1779835390946502)
EU3 | N. Europe | [EU1,EU4,EU5,EU6,EU7] | (0.4878472222222222,0.2993827160493827)
EU4 | Scandinavia | [EU1,EU2,EU3,EU6] | (0.4849537037037037,0.18415637860082304)
EU5 | S. Europe | [EU3,EU6,EU7,AF3,AF5,AS7] | (0.5098379629629629,0.3868312757201646)
EU6 | Ukraine | [EU3,EU4,EU5,AS1,AS7,AS11] | (0.5740740740740741,0.2366255144032922)
EU7 | W. Europe | [EU1,EU3,EU5,AF5] | (0.41550925925925924,0.4434156378600823)

AF1 | Congo | [AF2,AF5,AF6] | (0.5416666666666666,0.7037037037037037)
AF2 | E. Africa | [AF1,AF3,AF4,AF5,AF6,AS7] | (0.5978009259259259,0.6635802469135802)
AF3 | Egypt | [EU5,AF2,AF5,AS7] | (0.5370370370370371,0.5349794238683128)
AF4 | Madagascar | [AF2,AF6] | (0.6348379629629629,0.838477366255144)
AF5 | N. Africa | [SA2,EU5,EU7,AF1,AF2,AF3] | (0.453125,0.5781893004115226)
AF6 | S. Africa | [AF1,AF2,AF4] | (0.5480324074074074,0.8374485596707819)

AS1 | Afghanistan | [EU6,AS2,AS3,AS7,AS11] | (0.6591435185185185,0.3395061728395062)
AS2 | China | [AS1,AS3,AS8,AS9,AS10,AS11] | (0.7783564814814815,0.4022633744855967)
AS3 | India | [AS1,AS2,AS7,AS9] | (0.7204861111111112,0.48559670781893005)
AS4 | Irkutsk | [AS6,AS8,AS10,AS12] | (0.7870370370370371,0.22016460905349794)
AS5 | Japan | [AS6,AS8] | (0.9004629629629629,0.31995884773662553)
AS6 | Kamchatka | [NA1,AS4,AS5,AS8,AS12] | (0.8686342592592593,0.10390946502057613)
AS7 | Middle East | [EU5,EU6,AF2,AF3,AS1,AS3] | (0.6030092592592593,0.4588477366255144)
AS8 | Mongolia | [AS4,AS2,AS5,AS6,AS10,AS11] | (0.7928240740740741,0.31378600823045266)
AS9 | Siam | [AS2,AS3,AU2] | (0.796875,0.5174897119341564)
AS10 | Siberia | [AS2,AS4,AS8,AS11,AS12] | (0.7216435185185185,0.1440329218106996)
AS11 | Ural | [EU6,AS1,AS2,AS10] | (0.6730324074074074,0.20987654320987653)
AS12 | Yakutsk | [AS4,AS6,AS10] | (0.7922453703703703,0.10185185185185185)

AU1 | E. Australia | [AU3,AU4] | (0.9496527777777778,0.8220164609053497)
AU2 | Indonesia | [AS9,AU3,AU4] | (0.8211805555555556,0.6718106995884774)
AU3 | New Guinea | [AU1,AU2,AU4] | (0.9004629629629629,0.6481481481481481)
AU4 | W. Australia | [AU1,AU2,AU3] | (0.8559027777777778,0.823045267489712)
